A–H,B·,A·,B–H,TS,ML Barrier (kcal/mol),DFT Barrier (kcal/mol),Difference (kcal/mol)
PRE-G1d,PRE-S2,POST-G1d-H1,POST-S2,,22.75,23.50,-0.75
PRE-G1e,PRE-S2,POST-G1e-H1,POST-S2,,14.31,14.60,-0.29
PRE-G1f,PRE-S2,POST-G1f-H1,POST-S2,,13.40,13.20,0.20
PRE-G1g,PRE-S2,POST-G1g-H1,POST-S2,,15.66,17.60,-1.94
PRE-G1h,PRE-S2,POST-G1h-H1,POST-S2,,13.23,12.40,0.83
PRE-G1i,PRE-S2,POST-G1i-H1,POST-S2,,19.40,18.90,0.50
PRE-G1j,PRE-S2,POST-G1j-H1,POST-S2,,19.43,18.80,0.63
PRE-G1k,PRE-S2,POST-G1k-H1,POST-S2,,23.25,23.90,-0.65
PRE-G1l,PRE-S2,POST-G1l-H1,POST-S2,,18.16,19.20,-1.04
PRE-G1m,PRE-S2,POST-G1m-H1,POST-S2,,19.83,20.20,-0.37
PRE-G1n,PRE-S2,POST-G1n-H1,POST-S2,,10.54,10.80,-0.26
PRE-H1a,PRE-S2,POST-H1a-H1,POST-S2,,15.83,16.00,-0.17
PRE-H1b,PRE-S2,POST-H1b-H1,POST-S2,,17.82,18.00,-0.18
PRE-H1c,PRE-S2,POST-H1c-H1,POST-S2,,10.32,10.20,0.12
PRE-H1d,PRE-S2,POST-H1d-H1,POST-S2,,19.75,20.00,-0.25
PRE-H1e,PRE-S2,POST-H1e-H1,POST-S2,,13.73,14.70,-0.97
PRE-H1f,PRE-S2,POST-H1f-H1,POST-S2,,13.92,14.60,-0.68
PRE-H1h,PRE-S2,POST-H1h-H1,POST-S2,,14.19,15.20,-1.01
PRE-H1j,PRE-S2,POST-H1j-H1,POST-S2,,18.37,18.70,-0.33
PRE-H1k,PRE-S2,POST-H1k-H1,POST-S2,,20.39,21.80,-1.41
PRE-H1l,PRE-S2,POST-H1l-H1,POST-S2,,16.22,16.30,-0.08
PRE-H1m,PRE-S2,POST-H1m-H1,POST-S2,,16.92,17.80,-0.88
PRE-H1n,PRE-S2,POST-H1n-H1,POST-S2,,9.80,10.70,-0.90
PRE-I1a,PRE-S2,POST-I1a-H1,POST-S2,,11.68,11.70,-0.02
PRE-I1b,PRE-S2,POST-I1b-H1,POST-S2,,16.41,16.10,0.31
PRE-I1c,PRE-S2,POST-I1c-H1,POST-S2,,11.70,10.80,0.90
PRE-I1d,PRE-S2,POST-I1d-H1,POST-S2,,16.91,16.80,0.11
PRE-I1e,PRE-S2,POST-I1e-H1,POST-S2,,13.72,13.80,-0.08
PRE-I1f,PRE-S2,POST-I1f-H1,POST-S2,,13.23,13.80,-0.57
PRE-I1h,PRE-S2,POST-I1h-H1,POST-S2,,12.84,12.30,0.54
PRE-I1j,PRE-S2,POST-I1j-H1,POST-S2,,15.17,15.00,0.17
PRE-I1k,PRE-S2,POST-I1k-H1,POST-S2,,15.11,15.30,-0.19
PRE-I1l,PRE-S2,POST-I1l-H1,POST-S2,,14.18,14.70,-0.52
PRE-I1m,PRE-S2,POST-I1m-H1,POST-S2,,12.01,12.10,-0.09
PRE-I1n,PRE-S2,POST-I1n-H1,POST-S2,,11.21,10.60,0.61
PRE-J1a,PRE-S2,POST-J1a-H1,POST-S2,,15.50,15.90,-0.40
PRE-J1b,PRE-S2,POST-J1b-H1,POST-S2,,17.01,17.40,-0.39
PRE-J1c,PRE-S2,POST-J1c-H1,POST-S2,,14.01,14.60,-0.59
PRE-J1d,PRE-S2,POST-J1d-H1,POST-S2,,17.37,17.50,-0.13
PRE-J1e,PRE-S2,POST-J1e-H1,POST-S2,,15.88,16.00,-0.12
PRE-J1f,PRE-S2,POST-J1f-H1,POST-S2,,15.09,15.50,-0.41
PRE-J1h,PRE-S2,POST-J1h-H1,POST-S2,,15.10,15.60,-0.50
PRE-J1i,PRE-S2,POST-J1i-H1,POST-S2,,15.79,16.20,-0.41
PRE-J1j,PRE-S2,POST-J1j-H1,POST-S2,,16.43,16.70,-0.27
PRE-J1k,PRE-S2,POST-J1k-H1,POST-S2,,17.01,17.50,-0.49
PRE-J1l,PRE-S2,POST-J1l-H1,POST-S2,,16.70,16.60,0.10
PRE-J1m,PRE-S2,POST-J1m-H1,POST-S2,,15.72,16.20,-0.48
PRE-J1n,PRE-S2,POST-J1n-H1,POST-S2,,14.41,14.40,0.01
PRE-SI1,PRE-S2,POST-SI1-H1,POST-S2,,11.60,11.90,-0.30
PRE-SI2,PRE-S2,POST-SI2-H1,POST-S2,,12.14,12.40,-0.26
PRE-SI3,PRE-S2,POST-SI3-H1,POST-S2,,12.31,12.60,-0.29
PRE-A1a,PRE-S3,POST-A1a-H1,POST-S3,,21.82,21.60,0.22
PRE-A1b,PRE-S3,POST-A1b-H1,POST-S3,,26.03,26.50,-0.47
PRE-A1c,PRE-S3,POST-A1c-H1,POST-S3,,12.80,13.00,-0.20
PRE-A1d,PRE-S3,POST-A1d-H1,POST-S3,,28.51,30.40,-1.89
PRE-A1e,PRE-S3,POST-A1e-H1,POST-S3,,17.10,16.50,0.60
PRE-A1f,PRE-S3,POST-A1f-H1,POST-S3,,17.18,17.10,0.08
PRE-A1h,PRE-S3,POST-A1h-H1,POST-S3,,17.98,18.00,-0.02
PRE-A1i,PRE-S3,POST-A1i-H1,POST-S3,,26.60,26.50,0.10
PRE-A1j,PRE-S3,POST-A1j-H1,POST-S3,,24.41,25.30,-0.89
PRE-A1k,PRE-S3,POST-A1k-H1,POST-S3,,30.36,31.30,-0.94
PRE-A1l,PRE-S3,POST-A1l-H1,POST-S3,,23.25,23.70,-0.45
PRE-A1m,PRE-S3,POST-A1m-H1,POST-S3,,24.20,24.50,-0.30
PRE-A1n,PRE-S3,POST-A1n-H1,POST-S3,,10.62,10.80,-0.18
PRE-B1a,PRE-S3,POST-B1a-H1,POST-S3,,19.19,19.00,0.19
PRE-B1a,PRE-S3,POST-B1a-H3,POST-S3,,23.25,23.60,-0.35
PRE-B1b,PRE-S3,POST-B1b-H1,POST-S3,,22.23,22.50,-0.27
PRE-B1b,PRE-S3,POST-B1b-H2,POST-S3,,21.91,22.30,-0.39
PRE-B1b,PRE-S3,POST-B1b-H3,POST-S3,,24.48,24.30,0.18
PRE-B1c,PRE-S3,POST-B1c-H1,POST-S3,,11.13,11.20,-0.07
PRE-B1c,PRE-S3,POST-B1c-H2,POST-S3,,19.86,19.90,-0.04
PRE-B1c,PRE-S3,POST-B1c-H3,POST-S3,,23.29,23.60,-0.31
PRE-B1d,PRE-S3,POST-B1d-H1,POST-S3,,24.19,25.40,-1.21
PRE-B1d,PRE-S3,POST-B1d-H2,POST-S3,,23.45,23.00,0.45
PRE-B1d,PRE-S3,POST-B1d-H3,POST-S3,,25.30,25.30,0.00
PRE-B1e,PRE-S3,POST-B1e-H1,POST-S3,,15.43,15.80,-0.37
PRE-B1e,PRE-S3,POST-B1e-H2,POST-S3,,19.80,20.20,-0.40
PRE-B1e,PRE-S3,POST-B1e-H3,POST-S3,,23.72,24.00,-0.28
PRE-B1f,PRE-S3,POST-B1f-H1,POST-S3,,15.03,15.10,-0.07
PRE-B1f,PRE-S3,POST-B1f-H2,POST-S3,,20.31,20.60,-0.29
PRE-B1f,PRE-S3,POST-B1f-H3,POST-S3,,23.52,24.10,-0.58
PRE-B1h,PRE-S3,POST-B1h-H1,POST-S3,,15.39,15.90,-0.51
PRE-B1h,PRE-S3,POST-B1h-H2,POST-S3,,20.38,20.20,0.18
PRE-B1h,PRE-S3,POST-B1h-H3,POST-S3,,23.39,23.70,-0.31
PRE-B1j,PRE-S3,POST-B1j-H1,POST-S3,,21.98,22.70,-0.72
PRE-B1j,PRE-S3,POST-B1j-H2,POST-S3,,21.67,21.70,-0.03
PRE-B1j,PRE-S3,POST-B1j-H3,POST-S3,,24.14,24.60,-0.46
PRE-B1k,PRE-S3,POST-B1k-H1,POST-S3,,26.56,26.80,-0.24
PRE-B1k,PRE-S3,POST-B1k-H2,POST-S3,,21.57,22.20,-0.63
PRE-B1k,PRE-S3,POST-B1k-H3,POST-S3,,24.05,24.60,-0.55
PRE-B1l,PRE-S3,POST-B1l-H1,POST-S3,,19.97,20.00,-0.03
PRE-B1l,PRE-S3,POST-B1l-H2,POST-S3,,20.46,20.30,0.16
PRE-B1l,PRE-S3,POST-B1l-H3,POST-S3,,23.50,23.80,-0.30
PRE-B1m,PRE-S3,POST-B1m-H1,POST-S3,,19.91,19.90,0.01
PRE-B1m,PRE-S3,POST-B1m-H2,POST-S3,,19.03,19.40,-0.37
PRE-B1m,PRE-S3,POST-B1m-H3,POST-S3,,23.33,23.50,-0.17
PRE-B1n,PRE-S3,POST-B1n-H1,POST-S3,,9.56,9.00,0.56
PRE-B1n,PRE-S3,POST-B1n-H2,POST-S3,,19.54,20.30,-0.76
PRE-B1n,PRE-S3,POST-B1n-H3,POST-S3,,23.36,23.80,-0.44
PRE-B2a,PRE-S3,POST-B2a-H1,POST-S3,,16.63,16.90,-0.27
PRE-B2a,PRE-S3,POST-B2a-H2,POST-S3,,23.52,23.10,0.42
PRE-B2b,PRE-S3,POST-B2b-H1,POST-S3,,19.30,19.70,-0.40
PRE-B2b,PRE-S3,POST-B2b-H2,POST-S3,,26.49,26.80,-0.31
PRE-B2c,PRE-S3,POST-B2c-H1,POST-S3,,9.25,9.40,-0.15
PRE-B2c,PRE-S3,POST-B2c-H2,POST-S3,,24.48,24.40,0.08
PRE-B2d,PRE-S3,POST-B2d-H1,POST-S3,,21.89,22.70,-0.81
PRE-B2d,PRE-S3,POST-B2d-H2,POST-S3,,26.85,26.60,0.25
PRE-B2e,PRE-S3,POST-B2e-H1,POST-S3,,14.07,14.10,-0.03
PRE-B2e,PRE-S3,POST-B2e-H2,POST-S3,,23.55,23.40,0.15
PRE-B2f,PRE-S3,POST-B2f-H1,POST-S3,,14.05,13.90,0.15
PRE-B2f,PRE-S3,POST-B2f-H2,POST-S3,,24.57,24.70,-0.13
PRE-B2h,PRE-S3,POST-B2h-H1,POST-S3,,13.39,13.70,-0.31
PRE-B2h,PRE-S3,POST-B2h-H2,POST-S3,,24.74,25.10,-0.36
PRE-B2j,PRE-S3,POST-B2j-H1,POST-S3,,19.32,20.20,-0.88
PRE-B2j,PRE-S3,POST-B2j-H2,POST-S3,,25.08,24.80,0.28
PRE-B2k,PRE-S3,POST-B2k-H1,POST-S3,,22.65,23.10,-0.45
PRE-B2k,PRE-S3,POST-B2k-H2,POST-S3,,25.65,25.90,-0.25
PRE-B2l,PRE-S3,POST-B2l-H1,POST-S3,,16.07,16.20,-0.13
PRE-B2l,PRE-S3,POST-B2l-H2,POST-S3,,23.87,23.90,-0.03
PRE-B2m,PRE-S3,POST-B2m-H1,POST-S3,,17.10,17.30,-0.20
PRE-B2m,PRE-S3,POST-B2m-H2,POST-S3,,22.99,22.90,0.09
PRE-B2n,PRE-S3,POST-B2n-H1,POST-S3,,9.01,8.30,0.71
PRE-B2n,PRE-S3,POST-B2n-H2,POST-S3,,23.44,23.30,0.14
PRE-C1a,PRE-S3,POST-C1a-H1,POST-S3,,14.79,14.70,0.09
PRE-C1b,PRE-S3,POST-C1b-H1,POST-S3,,18.35,18.70,-0.35
PRE-C1c,PRE-S3,POST-C1c-H1,POST-S3,,8.74,8.80,-0.06
PRE-C1d,PRE-S3,POST-C1d-H1,POST-S3,,20.33,20.60,-0.27
PRE-C1e,PRE-S3,POST-C1e-H1,POST-S3,,12.87,12.60,0.27
PRE-C1f,PRE-S3,POST-C1f-H1,POST-S3,,11.87,11.80,0.07
PRE-C1h,PRE-S3,POST-C1h-H1,POST-S3,,11.88,13.00,-1.12
PRE-C1i,PRE-S3,POST-C1i-H1,POST-S3,,17.53,17.50,0.03
PRE-C1j,PRE-S3,POST-C1j-H1,POST-S3,,18.56,18.50,0.06
PRE-C1k,PRE-S3,POST-C1k-H1,POST-S3,,21.16,21.20,-0.04
PRE-C1l,PRE-S3,POST-C1l-H1,POST-S3,,15.87,16.30,-0.43
PRE-C1m,PRE-S3,POST-C1m-H1,POST-S3,,15.82,15.90,-0.08
PRE-C1n,PRE-S3,POST-C1n-H1,POST-S3,,6.90,6.30,0.60
PRE-D1a,PRE-S3,POST-D1a-H1,POST-S3,,12.78,12.70,0.08
PRE-D1b,PRE-S3,POST-D1b-H1,POST-S3,,16.41,17.40,-0.99
PRE-D1c,PRE-S3,POST-D1c-H1,POST-S3,,7.73,7.70,0.03
PRE-D1d,PRE-S3,POST-D1d-H1,POST-S3,,18.92,19.90,-0.98
PRE-D1e,PRE-S3,POST-D1e-H1,POST-S3,,12.37,11.90,0.47
PRE-D1f,PRE-S3,POST-D1f-H1,POST-S3,,10.64,10.90,-0.26
PRE-D1h,PRE-S3,POST-D1h-H1,POST-S3,,10.77,10.90,-0.13
PRE-D1j,PRE-S3,POST-D1j-H1,POST-S3,,16.76,17.40,-0.64
PRE-D1k,PRE-S3,POST-D1k-H1,POST-S3,,18.73,19.50,-0.77
PRE-D1l,PRE-S3,POST-D1l-H1,POST-S3,,14.64,14.20,0.44
PRE-D1m,PRE-S3,POST-D1m-H1,POST-S3,,14.18,14.40,-0.22
PRE-D1n,PRE-S3,POST-D1n-H1,POST-S3,,7.45,7.60,-0.15
PRE-E1a,PRE-S3,POST-E1a-H1,POST-S3,,17.41,17.60,-0.19
PRE-E1b,PRE-S3,POST-E1b-H1,POST-S3,,20.83,21.70,-0.87
PRE-E1c,PRE-S3,POST-E1c-H1,POST-S3,,11.61,11.60,0.01
PRE-E1d,PRE-S3,POST-E1d-H1,POST-S3,,23.41,24.40,-0.99
PRE-E1e,PRE-S3,POST-E1e-H1,POST-S3,,14.42,14.90,-0.48
PRE-E1f,PRE-S3,POST-E1f-H1,POST-S3,,14.70,14.80,-0.10
PRE-E1h,PRE-S3,POST-E1h-H1,POST-S3,,14.72,15.30,-0.58
PRE-E1i,PRE-S3,POST-E1i-H1,POST-S3,,19.86,20.30,-0.44
PRE-E1j,PRE-S3,POST-E1j-H1,POST-S3,,20.32,20.70,-0.38
PRE-E1k,PRE-S3,POST-E1k-H1,POST-S3,,22.78,23.70,-0.92
PRE-E1l,PRE-S3,POST-E1l-H1,POST-S3,,19.13,19.00,0.13
PRE-E1m,PRE-S3,POST-E1m-H1,POST-S3,,18.20,18.20,0.00
PRE-E1n,PRE-S3,POST-E1n-H1,POST-S3,,9.29,9.00,0.29
PRE-F1a,PRE-S3,POST-F1a-H1,POST-S3,,14.46,14.60,-0.14
PRE-F1b,PRE-S3,POST-F1b-H1,POST-S3,,17.57,18.00,-0.43
PRE-F1c,PRE-S3,POST-F1c-H1,POST-S3,,8.18,8.50,-0.32
PRE-F1d,PRE-S3,POST-F1d-H1,POST-S3,,22.49,23.10,-0.61
PRE-F1e,PRE-S3,POST-F1e-H1,POST-S3,,13.92,13.70,0.22
PRE-F1f,PRE-S3,POST-F1f-H1,POST-S3,,12.65,13.70,-1.05
PRE-F1h,PRE-S3,POST-F1h-H1,POST-S3,,11.76,12.40,-0.64
PRE-F1j,PRE-S3,POST-F1j-H1,POST-S3,,17.87,17.90,-0.03
PRE-F1k,PRE-S3,POST-F1k-H1,POST-S3,,21.42,22.40,-0.98
PRE-F1l,PRE-S3,POST-F1l-H1,POST-S3,,17.78,17.90,-0.12
PRE-F1m,PRE-S3,POST-F1m-H1,POST-S3,,18.89,19.10,-0.21
PRE-F1n,PRE-S3,POST-F1n-H1,POST-S3,,9.81,8.80,1.01
PRE-G1a,PRE-S3,POST-G1a-H1,POST-S3,,16.06,15.70,0.36
PRE-G1b,PRE-S3,POST-G1b-H1,POST-S3,,19.08,19.30,-0.22
PRE-G1c,PRE-S3,POST-G1c-H1,POST-S3,,9.05,9.20,-0.15
PRE-G1d,PRE-S3,POST-G1d-H1,POST-S3,,22.95,23.20,-0.25
PRE-G1e,PRE-S3,POST-G1e-H1,POST-S3,,13.56,14.00,-0.44
PRE-G1f,PRE-S3,POST-G1f-H1,POST-S3,,12.81,12.60,0.21
PRE-G1h,PRE-S3,POST-G1h-H1,POST-S3,,12.64,13.30,-0.66
PRE-G1i,PRE-S3,POST-G1i-H1,POST-S3,,18.79,18.90,-0.11
PRE-G1j,PRE-S3,POST-G1j-H1,POST-S3,,19.48,19.70,-0.22
PRE-G1k,PRE-S3,POST-G1k-H1,POST-S3,,23.33,24.00,-0.67
PRE-G1l,PRE-S3,POST-G1l-H1,POST-S3,,17.79,18.00,-0.21
PRE-G1m,PRE-S3,POST-G1m-H1,POST-S3,,19.17,19.20,-0.03
PRE-G1n,PRE-S3,POST-G1n-H1,POST-S3,,9.64,9.50,0.14
PRE-H1a,PRE-S3,POST-H1a-H1,POST-S3,,15.16,15.30,-0.14
PRE-H1b,PRE-S3,POST-H1b-H1,POST-S3,,17.97,18.70,-0.73
PRE-H1c,PRE-S3,POST-H1c-H1,POST-S3,,9.39,9.70,-0.31
PRE-H1d,PRE-S3,POST-H1d-H1,POST-S3,,20.39,21.10,-0.71
PRE-H1e,PRE-S3,POST-H1e-H1,POST-S3,,12.95,13.60,-0.65
PRE-H1f,PRE-S3,POST-H1f-H1,POST-S3,,13.26,13.60,-0.34
PRE-H1h,PRE-S3,POST-H1h-H1,POST-S3,,13.32,14.10,-0.78
PRE-H1j,PRE-S3,POST-H1j-H1,POST-S3,,18.60,18.50,0.10
PRE-H1k,PRE-S3,POST-H1k-H1,POST-S3,,20.35,20.60,-0.25
PRE-H1l,PRE-S3,POST-H1l-H1,POST-S3,,16.05,15.80,0.25
PRE-H1m,PRE-S3,POST-H1m-H1,POST-S3,,15.85,15.90,-0.05
PRE-H1n,PRE-S3,POST-H1n-H1,POST-S3,,9.30,9.60,-0.30
PRE-I1a,PRE-S3,POST-I1a-H1,POST-S3,,12.26,12.60,-0.34
PRE-I1b,PRE-S3,POST-I1b-H1,POST-S3,,17.19,17.70,-0.51
PRE-I1c,PRE-S3,POST-I1c-H1,POST-S3,,11.89,11.40,0.49
PRE-I1d,PRE-S3,POST-I1d-H1,POST-S3,,17.29,18.30,-1.01
PRE-I1e,PRE-S3,POST-I1e-H1,POST-S3,,13.13,12.70,0.43
PRE-I1f,PRE-S3,POST-I1f-H1,POST-S3,,13.17,13.40,-0.23
PRE-I1h,PRE-S3,POST-I1h-H1,POST-S3,,12.59,13.00,-0.41
PRE-I1j,PRE-S3,POST-I1j-H1,POST-S3,,15.53,15.70,-0.17
PRE-I1k,PRE-S3,POST-I1k-H1,POST-S3,,15.45,16.00,-0.55
PRE-I1l,PRE-S3,POST-I1l-H1,POST-S3,,13.80,13.50,0.30
PRE-I1m,PRE-S3,POST-I1m-H1,POST-S3,,11.67,11.00,0.67
PRE-I1n,PRE-S3,POST-I1n-H1,POST-S3,,11.43,11.00,0.43
PRE-J1a,PRE-S3,POST-J1a-H1,POST-S3,,15.01,15.30,-0.29
PRE-J1b,PRE-S3,POST-J1b-H1,POST-S3,,16.87,17.00,-0.13
PRE-J1c,PRE-S3,POST-J1c-H1,POST-S3,,13.58,13.50,0.08
PRE-J1d,PRE-S3,POST-J1d-H1,POST-S3,,17.16,17.20,-0.04
PRE-J1e,PRE-S3,POST-J1e-H1,POST-S3,,15.40,15.30,0.10
PRE-J1f,PRE-S3,POST-J1f-H1,POST-S3,,14.67,14.80,-0.13
PRE-J1h,PRE-S3,POST-J1h-H1,POST-S3,,14.57,14.70,-0.13
PRE-J1i,PRE-S3,POST-J1i-H1,POST-S3,,15.31,15.30,0.01
PRE-J1j,PRE-S3,POST-J1j-H1,POST-S3,,16.19,16.20,-0.01
PRE-J1k,PRE-S3,POST-J1k-H1,POST-S3,,17.01,17.60,-0.59
PRE-J1l,PRE-S3,POST-J1l-H1,POST-S3,,16.60,16.30,0.30
PRE-J1m,PRE-S3,POST-J1m-H1,POST-S3,,15.21,15.50,-0.29
PRE-J1n,PRE-S3,POST-J1n-H1,POST-S3,,13.93,14.10,-0.17
PRE-SI1,PRE-S3,POST-SI1-H1,POST-S3,,12.06,12.60,-0.54
PRE-SI2,PRE-S3,POST-SI2-H1,POST-S3,,12.08,12.10,-0.02
PRE-SI3,PRE-S3,POST-SI3-H1,POST-S3,,11.98,12.10,-0.12
PRE-A1a,PRE-S4,POST-A1a-H1,POST-S4,,22.74,22.90,-0.16
PRE-A1b,PRE-S4,POST-A1b-H1,POST-S4,,26.22,26.50,-0.28
PRE-A1c,PRE-S4,POST-A1c-H1,POST-S4,,14.44,14.60,-0.16
PRE-A1d,PRE-S4,POST-A1d-H1,POST-S4,,28.59,29.30,-0.71
PRE-A1e,PRE-S4,POST-A1e-H1,POST-S4,,18.80,19.50,-0.70
PRE-A1f,PRE-S4,POST-A1f-H1,POST-S4,,18.40,18.70,-0.30
PRE-A1h,PRE-S4,POST-A1h-H1,POST-S4,,19.19,19.40,-0.21
PRE-A1i,PRE-S4,POST-A1i-H1,POST-S4,,27.10,26.80,0.30
PRE-A1j,PRE-S4,POST-A1j-H1,POST-S4,,25.41,26.20,-0.79
PRE-A1k,PRE-S4,POST-A1k-H1,POST-S4,,30.69,31.40,-0.71
PRE-A1l,PRE-S4,POST-A1l-H1,POST-S4,,23.76,24.20,-0.44
PRE-A1m,PRE-S4,POST-A1m-H1,POST-S4,,25.15,25.60,-0.45
PRE-A1n,PRE-S4,POST-A1n-H1,POST-S4,,12.46,12.40,0.06
PRE-B1a,PRE-S4,POST-B1a-H1,POST-S4,,20.38,20.50,-0.12
PRE-B1a,PRE-S4,POST-B1a-H3,POST-S4,,24.24,24.80,-0.56
PRE-B1b,PRE-S4,POST-B1b-H1,POST-S4,,22.59,23.00,-0.41
PRE-B1b,PRE-S4,POST-B1b-H2,POST-S4,,22.94,23.10,-0.16
PRE-B1b,PRE-S4,POST-B1b-H3,POST-S4,,25.28,25.60,-0.32
PRE-B1c,PRE-S4,POST-B1c-H1,POST-S4,,12.75,13.30,-0.55
PRE-B1c,PRE-S4,POST-B1c-H2,POST-S4,,21.14,21.10,0.04
PRE-B1c,PRE-S4,POST-B1c-H3,POST-S4,,24.35,24.40,-0.05
PRE-B1d,PRE-S4,POST-B1d-H1,POST-S4,,24.36,24.70,-0.34
PRE-B1d,PRE-S4,POST-B1d-H2,POST-S4,,24.04,23.90,0.14
PRE-B1d,PRE-S4,POST-B1d-H3,POST-S4,,25.96,26.20,-0.24
PRE-B1e,PRE-S4,POST-B1e-H1,POST-S4,,17.13,17.40,-0.27
PRE-B1e,PRE-S4,POST-B1e-H2,POST-S4,,21.11,21.60,-0.49
PRE-B1e,PRE-S4,POST-B1e-H3,POST-S4,,24.69,25.10,-0.41
PRE-B1f,PRE-S4,POST-B1f-H1,POST-S4,,16.51,17.00,-0.49
PRE-B1f,PRE-S4,POST-B1f-H2,POST-S4,,21.62,21.80,-0.18
PRE-B1f,PRE-S4,POST-B1f-H3,POST-S4,,24.57,25.20,-0.63
PRE-B1h,PRE-S4,POST-B1h-H1,POST-S4,,17.31,17.70,-0.39
PRE-B1h,PRE-S4,POST-B1h-H2,POST-S4,,21.67,22.40,-0.73
PRE-B1h,PRE-S4,POST-B1h-H3,POST-S4,,24.44,24.80,-0.36
PRE-B1j,PRE-S4,POST-B1j-H1,POST-S4,,22.99,23.00,-0.01
PRE-B1j,PRE-S4,POST-B1j-H2,POST-S4,,22.46,22.60,-0.14
PRE-B1j,PRE-S4,POST-B1j-H3,POST-S4,,25.03,25.00,0.03
PRE-B1k,PRE-S4,POST-B1k-H1,POST-S4,,26.97,27.10,-0.13
PRE-B1k,PRE-S4,POST-B1k-H2,POST-S4,,22.54,23.00,-0.46
PRE-B1k,PRE-S4,POST-B1k-H3,POST-S4,,24.97,26.10,-1.13
PRE-B1l,PRE-S4,POST-B1l-H1,POST-S4,,20.64,20.80,-0.16
PRE-B1l,PRE-S4,POST-B1l-H2,POST-S4,,21.75,22.60,-0.85
PRE-B1l,PRE-S4,POST-B1l-H3,POST-S4,,24.58,24.60,-0.02
PRE-B1m,PRE-S4,POST-B1m-H1,POST-S4,,21.26,21.50,-0.24
PRE-B1m,PRE-S4,POST-B1m-H2,POST-S4,,20.39,20.80,-0.41
PRE-B1m,PRE-S4,POST-B1m-H3,POST-S4,,24.43,24.90,-0.47
PRE-B1n,PRE-S4,POST-B1n-H1,POST-S4,,11.21,11.30,-0.09
PRE-B1n,PRE-S4,POST-B1n-H2,POST-S4,,20.85,21.00,-0.15
PRE-B1n,PRE-S4,POST-B1n-H3,POST-S4,,24.46,24.90,-0.44
PRE-B2a,PRE-S4,POST-B2a-H1,POST-S4,,17.90,17.60,0.30
PRE-B2a,PRE-S4,POST-B2a-H2,POST-S4,,24.59,24.80,-0.21
PRE-B2b,PRE-S4,POST-B2b-H1,POST-S4,,19.67,19.40,0.27
PRE-B2b,PRE-S4,POST-B2b-H2,POST-S4,,27.05,27.40,-0.35
PRE-B2c,PRE-S4,POST-B2c-H1,POST-S4,,10.98,11.20,-0.22
PRE-B2c,PRE-S4,POST-B2c-H2,POST-S4,,25.46,25.60,-0.14
PRE-B2d,PRE-S4,POST-B2d-H1,POST-S4,,21.90,21.40,0.50
PRE-B2d,PRE-S4,POST-B2d-H2,POST-S4,,27.31,27.40,-0.09
PRE-B2e,PRE-S4,POST-B2e-H1,POST-S4,,15.79,16.00,-0.21
PRE-B2e,PRE-S4,POST-B2e-H2,POST-S4,,24.52,24.70,-0.18
PRE-B2f,PRE-S4,POST-B2f-H1,POST-S4,,15.75,15.40,0.35
PRE-B2f,PRE-S4,POST-B2f-H2,POST-S4,,25.61,25.80,-0.19
PRE-B2h,PRE-S4,POST-B2h-H1,POST-S4,,15.34,15.50,-0.16
PRE-B2h,PRE-S4,POST-B2h-H2,POST-S4,,25.59,25.70,-0.11
PRE-B2j,PRE-S4,POST-B2j-H1,POST-S4,,20.54,21.00,-0.46
PRE-B2j,PRE-S4,POST-B2j-H2,POST-S4,,25.77,26.10,-0.33
PRE-B2k,PRE-S4,POST-B2k-H1,POST-S4,,23.38,24.40,-1.02
PRE-B2k,PRE-S4,POST-B2k-H2,POST-S4,,26.55,27.50,-0.95
PRE-B2l,PRE-S4,POST-B2l-H1,POST-S4,,17.13,16.90,0.23
PRE-B2l,PRE-S4,POST-B2l-H2,POST-S4,,24.90,25.20,-0.30
PRE-B2m,PRE-S4,POST-B2m-H1,POST-S4,,18.40,19.00,-0.60
PRE-B2m,PRE-S4,POST-B2m-H2,POST-S4,,24.03,24.10,-0.07
PRE-B2n,PRE-S4,POST-B2n-H1,POST-S4,,10.72,10.70,0.02
PRE-B2n,PRE-S4,POST-B2n-H2,POST-S4,,24.59,25.20,-0.61
PRE-C1a,PRE-S4,POST-C1a-H1,POST-S4,,15.96,16.10,-0.14
PRE-C1b,PRE-S4,POST-C1b-H1,POST-S4,,18.61,19.00,-0.39
PRE-C1c,PRE-S4,POST-C1c-H1,POST-S4,,10.42,10.80,-0.38
PRE-C1d,PRE-S4,POST-C1d-H1,POST-S4,,20.43,21.50,-1.07
PRE-C1e,PRE-S4,POST-C1e-H1,POST-S4,,14.50,14.90,-0.40
PRE-C1f,PRE-S4,POST-C1f-H1,POST-S4,,13.36,13.70,-0.34
PRE-C1h,PRE-S4,POST-C1h-H1,POST-S4,,13.18,14.30,-1.12
PRE-C1i,PRE-S4,POST-C1i-H1,POST-S4,,18.64,18.90,-0.26
PRE-C1j,PRE-S4,POST-C1j-H1,POST-S4,,19.16,19.20,-0.04
PRE-C1k,PRE-S4,POST-C1k-H1,POST-S4,,21.53,21.90,-0.37
PRE-C1l,PRE-S4,POST-C1l-H1,POST-S4,,16.66,16.30,0.36
PRE-C1m,PRE-S4,POST-C1m-H1,POST-S4,,17.10,17.50,-0.40
PRE-C1n,PRE-S4,POST-C1n-H1,POST-S4,,9.28,9.40,-0.12
